Date_ID,Date,year,Month,Quarter,Date_ID.1
DT00001,2017-01-01,2017,1,Q1,DT00001
DT00002,2017-01-02,2017,1,Q1,DT00002
DT00003,2017-01-03,2017,1,Q1,DT00003
DT00004,2017-01-04,2017,1,Q1,DT00004
DT00005,2017-01-05,2017,1,Q1,DT00005
DT00006,2017-01-06,2017,1,Q1,DT00006
DT00007,2017-01-07,2017,1,Q1,DT00007
DT00008,2017-01-08,2017,1,Q1,DT00008
DT00009,2017-01-09,2017,1,Q1,DT00009
DT00010,2017-01-10,2017,1,Q1,DT00010
DT00011,2017-01-11,2017,1,Q1,DT00011
DT00012,2017-01-12,2017,1,Q1,DT00012
DT00013,2017-01-13,2017,1,Q1,DT00013
DT00014,2017-01-14,2017,1,Q1,DT00014
DT00015,2017-01-15,2017,1,Q1,DT00015
DT00016,2017-01-16,2017,1,Q1,DT00016
DT00017,2017-01-17,2017,1,Q1,DT00017
DT00018,2017-01-18,2017,1,Q1,DT00018
DT00019,2017-01-19,2017,1,Q1,DT00019
DT00020,2017-01-20,2017,1,Q1,DT00020
DT00021,2017-01-21,2017,1,Q1,DT00021
DT00022,2017-01-22,2017,1,Q1,DT00022
DT00023,2017-01-23,2017,1,Q1,DT00023
DT00024,2017-01-24,2017,1,Q1,DT00024
DT00025,2017-01-25,2017,1,Q1,DT00025
DT00026,2017-01-26,2017,1,Q1,DT00026
DT00027,2017-01-27,2017,1,Q1,DT00027
DT00028,2017-01-28,2017,1,Q1,DT00028
DT00029,2017-01-29,2017,1,Q1,DT00029
DT00030,2017-01-30,2017,1,Q1,DT00030
DT00031,2017-01-31,2017,1,Q1,DT00031
DT00032,2017-02-01,2017,2,Q1,DT00032
DT00033,2017-02-02,2017,2,Q1,DT00033
DT00034,2017-02-03,2017,2,Q1,DT00034
DT00035,2017-02-04,2017,2,Q1,DT00035
DT00036,2017-02-05,2017,2,Q1,DT00036
DT00037,2017-02-06,2017,2,Q1,DT00037
DT00038,2017-02-07,2017,2,Q1,DT00038
DT00039,2017-02-08,2017,2,Q1,DT00039
DT00040,2017-02-09,2017,2,Q1,DT00040
DT00041,2017-02-10,2017,2,Q1,DT00041
DT00042,2017-02-11,2017,2,Q1,DT00042
DT00043,2017-02-12,2017,2,Q1,DT00043
DT00044,2017-02-13,2017,2,Q1,DT00044
DT00045,2017-02-14,2017,2,Q1,DT00045
DT00046,2017-02-15,2017,2,Q1,DT00046
DT00047,2017-02-16,2017,2,Q1,DT00047
DT00048,2017-02-17,2017,2,Q1,DT00048
DT00049,2017-02-18,2017,2,Q1,DT00049
